time	V(drain)	V(drain)/Id(M1)
1.331159374948857e-008	2.180618e-001	4.413160e+003
1.399518749948858e-008	1.858903e-001	4.161773e+003
1.467878124948858e-008	1.570360e-001	3.951491e+003
1.526471874948858e-008	1.349880e-001	3.799477e+003
1.585065624948858e-008	1.153773e-001	3.670059e+003
1.633893749948857e-008	1.008275e-001	3.577344e+003
1.682721874948857e-008	8.782240e-002	3.496736e+003
1.731549999948856e-008	7.626577e-002	3.426827e+003
1.780378124948856e-008	6.605101e-002	3.366335e+003
1.829206249948855e-008	5.706595e-002	3.314103e+003
1.878034374948855e-008	4.919693e-002	3.269091e+003
1.926862499948854e-008	4.233212e-002	3.230369e+003
1.975690624948854e-008	3.636404e-002	3.197110e+003
2.024518749948853e-008	3.119140e-002	3.168583e+003
2.073346874948853e-008	2.672017e-002	3.144145e+003
2.122174999948852e-008	2.286431e-002	3.123232e+003
2.171003124948852e-008	1.954593e-002	3.105353e+003
2.219831249948852e-008	1.669516e-002	3.090081e+003
2.258893749948851e-008	1.470923e-002	3.079489e+003
2.297956249948851e-008	1.295422e-002	3.070161e+003
2.337018749948850e-008	1.140446e-002	3.061949e+003
2.376081249948850e-008	1.003688e-002	3.054721e+003
2.415143749948850e-008	8.830789e-003	3.048362e+003
2.454206249948849e-008	7.767677e-003	3.042768e+003
2.493268749948849e-008	6.831036e-003	3.037848e+003
2.532331249948849e-008	6.006163e-003	3.033523e+003
2.581159374948848e-008	5.112474e-003	3.028844e+003
2.629987499948848e-008	4.350760e-003	3.024862e+003
2.678815624948847e-008	3.701808e-003	3.021474e+003
2.727643749948847e-008	3.149125e-003	3.018592e+003
2.776471874948846e-008	2.678576e-003	3.016140e+003
2.825299999948846e-008	2.278061e-003	3.014055e+003
2.874128124948845e-008	1.937232e-003	3.012281e+003
2.922956249948845e-008	1.647250e-003	3.010774e+003
2.971784374948844e-008	1.400571e-003	3.009491e+003
3.030378124948846e-008	1.152719e-003	3.008204e+003
3.088971874948847e-008	9.486562e-004	3.007144e+003
3.147565624948849e-008	7.806694e-004	3.006272e+003
3.215924999948850e-008	6.218571e-004	3.005448e+003
3.284284374948852e-008	4.953245e-004	3.004792e+003
3.362409374948854e-008	3.819013e-004	3.004203e+003
3.450299999948856e-008	2.850179e-004	3.003701e+003
3.547956249948858e-008	2.058979e-004	3.003290e+003
3.665143749948861e-008	1.393690e-004	3.002946e+003
3.811628124948865e-008	8.556319e-005	3.002666e+003
3.997174999948869e-008	4.611956e-005	3.002462e+003
4.260846874948876e-008	1.916241e-005	3.002322e+003
4.749128124948888e-008	3.767588e-006	3.002243e+003
9.817487499949010e-008	1.752388e-013	3.002123e+003
9.993268749949014e-008	9.756286e-014	3.001262e+003
1.000000000000000e-007	9.538160e-014	2.967113e+003
Step Information: Vdd=1.2  (Run: 8/14)
0.000000000000000e+000	1.200000e+000	1.353191e+004
9.765624960978488e-016	1.200000e+000	1.353350e+004
1.953124992195698e-015	1.200000e+000	1.353403e+004
4.913156249488533e-009	7.736521e-001	9.128837e+003
7.549874999488531e-009	5.538566e-001	6.778489e+003
8.819406249488540e-009	4.516171e-001	5.708182e+003
9.600656249488546e-009	3.907773e-001	5.112742e+003
1.028424999948855e-008	3.396748e-001	4.661624e+003
1.096784374948856e-008	2.914574e-001	4.285883e+003
1.174909374948856e-008	2.409239e-001	3.937713e+003
1.233503124948857e-008	2.067183e-001	3.723329e+003
1.292096874948857e-008	1.759014e-001	3.542504e+003
1.340924999948857e-008	1.528510e-001	3.414061e+003
1.389753124948858e-008	1.321596e-001	3.303323e+003
1.438581249948858e-008	1.137457e-001	3.208172e+003
1.487409374948859e-008	9.748932e-002	3.126688e+003
1.536237499948858e-008	8.324271e-002	3.057131e+003
1.575299999948858e-008	7.318138e-002	3.009013e+003
1.614362499948857e-008	6.421112e-002	2.966795e+003
1.653424999948857e-008	5.624161e-002	2.929812e+003
1.692487499948857e-008	4.918371e-002	2.897464e+003
1.731549999948856e-008	4.295102e-002	2.869209e+003
1.770612499948856e-008	3.746117e-002	2.844559e+003
1.809674999948855e-008	3.263669e-002	2.823077e+003
1.848737499948855e-008	2.840560e-002	2.804375e+003
1.887799999948855e-008	2.470160e-002	2.788107e+003
1.926862499948854e-008	2.146421e-002	2.773967e+003
1.965924999948854e-008	1.863862e-002	2.761686e+003
2.004987499948854e-008	1.617550e-002	2.751026e+003
2.044049999948853e-008	1.403069e-002	2.741777e+003
2.083112499948853e-008	1.216482e-002	2.733757e+003
2.122174999948852e-008	1.054296e-002	2.726805e+003
2.161237499948852e-008	9.134218e-003	2.720781e+003
2.200299999948852e-008	7.911369e-003	2.715563e+003
2.239362499948851e-008	6.850465e-003	2.711044e+003
2.278424999948851e-008	5.930499e-003	2.707131e+003
2.317487499948851e-008	5.133080e-003	2.703744e+003
2.356549999948850e-008	4.442134e-003	2.700813e+003
2.395612499948850e-008	3.843631e-003	2.698277e+003
2.434674999948849e-008	3.325345e-003	2.696083e+003
2.473737499948849e-008	2.876630e-003	2.694184e+003
2.512799999948849e-008	2.488227e-003	2.692542e+003
2.551862499948848e-008	2.152089e-003	2.691122e+003
2.590924999948848e-008	1.861227e-003	2.689893e+003
2.639753124948847e-008	1.552158e-003	2.688588e+003
2.688581249948847e-008	1.294308e-003	2.687500e+003
2.737409374948847e-008	1.079220e-003	2.686593e+003
2.786237499948846e-008	8.998250e-004	2.685837e+003
2.835065624948846e-008	7.502149e-004	2.685206e+003
2.893659374948845e-008	6.031103e-004	2.684586e+003
2.952253124948844e-008	4.848285e-004	2.684087e+003
3.020612499948845e-008	3.758013e-004	2.683628e+003
3.098737499948847e-008	2.808691e-004	2.683228e+003
3.186628124948850e-008	2.024060e-004	2.682898e+003
3.284284374948852e-008	1.406425e-004	2.682637e+003
3.401471874948855e-008	9.085982e-005	2.682428e+003
3.547956249948858e-008	5.262288e-005	2.682267e+003
3.753034374948863e-008	2.449520e-005	2.682148e+003
4.085065624948871e-008	7.102097e-006	2.682075e+003
5.051862499948895e-008	1.930710e-007	2.682046e+003
9.817487499949010e-008	3.687514e-015	2.666214e+003
9.993268749949014e-008	1.907863e-015	2.652179e+003
1.000000000000000e-007	1.860153e-015	2.650970e+003
Step Information: Vdd=1.3  (Run: 9/14)
0.000000000000000e+000	1.300000e+000	1.233398e+004
9.765624960978488e-016	1.300000e+000	1.233542e+004
1.953124992195698e-015	1.300000e+000	1.233590e+004
4.522531249488533e-009	8.331493e-001	8.256604e+003
6.866281249488531e-009	6.002667e-001	6.155125e+003
8.038156249488534e-009	4.875974e-001	5.161825e+003
8.721749999488539e-009	4.239973e-001	4.639889e+003
9.307687499488544e-009	3.715604e-001	4.252792e+003
9.893624999488548e-009	3.218995e-001	3.929371e+003
1.057721874948855e-008	2.684911e-001	3.621737e+003
1.116315624948856e-008	2.272074e-001	3.406099e+003
1.165143749948856e-008	1.962001e-001	3.254542e+003
1.213971874948857e-008	1.683348e-001	3.125044e+003
