time	Ig(M1)
Step Information: Vdd=-1.8  (Run: 1/37)
3.230740676706674e-001	3.443522e-016
3.240740676706674e-001	3.443522e-016
3.250740676706674e-001	3.443522e-016
3.260740676706674e-001	3.443522e-016
3.270740676706674e-001	3.443522e-016
3.280740676706674e-001	3.443522e-016
3.290740676706672e-001	3.443522e-016
3.300740676706672e-001	3.443522e-016
3.310740676706674e-001	3.443522e-016
3.320740676706674e-001	3.443522e-016
3.330740676706674e-001	3.443522e-016
3.340740676706674e-001	3.443522e-016
3.350740676706675e-001	3.443522e-016
3.360740676706672e-001	3.443522e-016
3.370740676706674e-001	3.443522e-016
3.380740676706674e-001	3.443522e-016
3.390740676706672e-001	3.443522e-016
3.400740676706672e-001	3.443522e-016
3.406325345388839e-001	-2.659147e-016
3.415740676706673e-001	-3.443567e-016
3.426325345388838e-001	-2.659147e-016
3.435740676706673e-001	-3.443567e-016
3.446325345388839e-001	-2.659147e-016
3.455740676706674e-001	-3.443567e-016
3.466325345388839e-001	-2.659147e-016
3.475740676706676e-001	-3.443567e-016
3.486325345388837e-001	-2.659147e-016
3.495740676706675e-001	-3.443567e-016
3.506325345388838e-001	-2.659147e-016
3.515740676706674e-001	-3.443567e-016
3.526325345388838e-001	-2.659147e-016
3.535740676706675e-001	-3.443567e-016
3.546325345388837e-001	-2.659147e-016
3.555740676706675e-001	-3.443567e-016
3.566325345388837e-001	-2.659147e-016
3.575740676706672e-001	-3.443567e-016
3.586325345388837e-001	-2.659147e-016
3.595740676706674e-001	-3.443567e-016
3.606325345388838e-001	-2.659147e-016
3.615740676706674e-001	-3.443567e-016
3.626325345388838e-001	-2.659147e-016
3.635740676706672e-001	-3.443567e-016
3.646325345388839e-001	-2.659147e-016
3.655740676706673e-001	-3.443567e-016
3.666325345388837e-001	-2.659147e-016
3.675740676706673e-001	-3.443567e-016
3.686325345388838e-001	-2.659147e-016
3.695740676706674e-001	-3.443567e-016
3.706325345388838e-001	-2.659147e-016
3.715740676706675e-001	-3.443567e-016
3.726325345388837e-001	-2.659147e-016
3.735740676706675e-001	-3.443567e-016
3.746325345388837e-001	-2.659147e-016
3.755740676706672e-001	-3.443567e-016
3.766325345388840e-001	-2.659147e-016
3.775740676706674e-001	-3.443567e-016
3.786325345388839e-001	-2.659147e-016
3.795740676706674e-001	-3.443567e-016
3.806325345388837e-001	-2.659147e-016
3.815740676706672e-001	-3.443567e-016
3.826325345388839e-001	-2.659147e-016
3.832298585342137e-001	5.054000e-017
3.839737790217869e-001	3.725974e-016
3.856325345388839e-001	-2.659147e-016
3.865740676706675e-001	-3.443567e-016
3.876325345388839e-001	-2.659147e-016
3.885740676706675e-001	-3.443567e-016
3.896325345388839e-001	-2.659147e-016
3.905740676706672e-001	-3.443567e-016
3.916325345388838e-001	-2.659147e-016
3.925740676706673e-001	-3.443567e-016
3.936325345388838e-001	-2.659147e-016
3.945740676706674e-001	-3.443567e-016
3.956325345388839e-001	-2.659147e-016
3.965740676706674e-001	-3.443567e-016
3.976325345388839e-001	-2.659147e-016
3.985740676706676e-001	-3.443567e-016
3.996325345388837e-001	-2.659147e-016
4.005740676706677e-001	-3.443567e-016
4.016325345388839e-001	-2.659147e-016
4.025740676706672e-001	-3.443567e-016
4.036325345388839e-001	-2.659147e-016
4.045740676706675e-001	-3.443567e-016
4.056325345388839e-001	-2.659147e-016
4.065740676706675e-001	-3.443567e-016
4.076325345388837e-001	-2.659147e-016
4.085740676706672e-001	-3.443567e-016
4.096325345388838e-001	-2.659147e-016
4.105740676706673e-001	-3.443567e-016
4.116325345388838e-001	-2.659147e-016
4.125740676706671e-001	-3.443567e-016
4.136325345388839e-001	-2.659147e-016
4.145740676706672e-001	-3.443567e-016
4.156325345388839e-001	-2.659147e-016
4.165740676706673e-001	-3.443567e-016
4.176325345388837e-001	-2.659147e-016
4.185740676706672e-001	-3.443567e-016
4.196325345388838e-001	-2.659147e-016
4.205740676706672e-001	-3.443567e-016
4.216325345388837e-001	-2.659147e-016
4.225740676706676e-001	-3.443567e-016
4.236325345388837e-001	-2.659147e-016
4.245740676706675e-001	-3.443567e-016
4.256325345388838e-001	-2.659147e-016
4.258241870394900e-001	1.774091e-016
4.264737790217869e-001	-3.725958e-016
4.281325345388838e-001	2.659086e-016
4.290740676706672e-001	3.443522e-016
4.300740676706675e-001	3.443522e-016
4.310740676706674e-001	3.443522e-016
4.320740676706674e-001	3.443522e-016
4.330740676706674e-001	3.443522e-016
4.340740676706674e-001	3.443522e-016
4.350740676706674e-001	3.443522e-016
4.360740676706675e-001	3.443522e-016
4.370740676706676e-001	3.443522e-016
4.380740676706672e-001	3.443522e-016
4.390740676706674e-001	3.443522e-016
4.400740676706674e-001	3.443522e-016
4.410740676706674e-001	3.443522e-016
4.420740676706674e-001	3.443522e-016
4.430740676706674e-001	3.443522e-016
4.440740676706674e-001	3.443522e-016
4.450740676706672e-001	3.443522e-016
4.460740676706674e-001	3.443522e-016
4.470740676706672e-001	3.443522e-016
4.480740676706674e-001	3.443522e-016
4.490740676706674e-001	3.443522e-016
4.500740676706674e-001	3.443522e-016
4.510740676706674e-001	3.443522e-016
4.520740676706675e-001	3.443522e-016
4.530740676706674e-001	3.443522e-016
